"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"32967","27.71359","-80.46015","Vero Beach","FL","Florida","TRUE","","27240","263.2","12061","Indian River","{""12061"": 100}","Indian River","12061","FALSE","FALSE","America/New_York"
"32968","27.58808","-80.50993","Vero Beach","FL","Florida","TRUE","","15912","141.3","12061","Indian River","{""12061"": 99.74, ""12111"": 0.26}","Indian River|St. Lucie","12061|12111","FALSE","FALSE","America/New_York"
"32970","27.75402","-80.45136","Wabasso","FL","Florida","TRUE","","174","68.0","12061","Indian River","{""12061"": 100}","Indian River","12061","FALSE","FALSE","America/New_York"
"32976","27.86198","-80.53721","Sebastian","FL","Florida","TRUE","","9156","145.5","12009","Brevard","{""12009"": 100}","Brevard","12009","FALSE","FALSE","America/New_York"
"33001","24.82041","-80.80992","Long Key","FL","Florida","TRUE","","250","49.4","12087","Monroe","{""12087"": 100}","Monroe","12087","FALSE","FALSE","America/New_York"
"33004","26.05939","-80.13637","Dania","FL","Florida","TRUE","","17094","977.0","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33009","25.98531","-80.1466","Hallandale","FL","Florida","TRUE","","44502","3512.6","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33010","25.83309","-80.27902","Hialeah","FL","Florida","TRUE","","41701","3725.8","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33012","25.86583","-80.30247","Hialeah","FL","Florida","TRUE","","71017","4669.1","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33013","25.86209","-80.27032","Hialeah","FL","Florida","TRUE","","30695","3129.3","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33014","25.90332","-80.30173","Hialeah","FL","Florida","TRUE","","41598","2478.4","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33015","25.94116","-80.31761","Hialeah","FL","Florida","TRUE","","68891","4519.0","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33016","25.89361","-80.33186","Hialeah","FL","Florida","TRUE","","45551","4203.1","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33018","25.92","-80.39274","Hialeah","FL","Florida","TRUE","","57921","796.2","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33019","26.02346","-80.1236","Hollywood","FL","Florida","TRUE","","14293","1473.5","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33020","26.01911","-80.15251","Hollywood","FL","Florida","TRUE","","46322","2972.1","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33021","26.02277","-80.18742","Hollywood","FL","Florida","TRUE","","48464","2118.0","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33022","26.01385","-80.14407","Hollywood","FL","Florida","TRUE","","0","0.0","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33023","25.98812","-80.21263","Hollywood","FL","Florida","TRUE","","72344","3190.4","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33024","26.02501","-80.24475","Hollywood","FL","Florida","TRUE","","76585","2548.4","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33025","25.98737","-80.28134","Hollywood","FL","Florida","TRUE","","76967","2816.5","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33026","26.02575","-80.29625","Hollywood","FL","Florida","TRUE","","31172","2613.5","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33027","25.98245","-80.34359","Hollywood","FL","Florida","TRUE","","65116","1881.8","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33028","26.01852","-80.34488","Pembroke Pines","FL","Florida","TRUE","","28397","1907.9","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33029","25.99184","-80.40794","Hollywood","FL","Florida","TRUE","","44070","1015.1","12011","Broward","{""12011"": 100}","Broward","12011","FALSE","FALSE","America/New_York"
"33030","25.4848","-80.50857","Homestead","FL","Florida","TRUE","","37678","824.4","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33031","25.52709","-80.50312","Homestead","FL","Florida","TRUE","","7323","127.3","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
"33032","25.52963","-80.39234","Homestead","FL","Florida","TRUE","","65132","1378.7","12086","Miami-Dade","{""12086"": 100}","Miami-Dade","12086","FALSE","FALSE","America/New_York"
